Company,Tier,Source,US_HQ,B2B_SaaS,Gujarat_Presence,Gujarat_City,VC_Backed_Startup,Approx_Size,SaaS_Score_If_Candidate (AM Rubric),Notes
eClinicalWorks,Tier 1 (AM + RC),JD Config,Yes,Yes,Yes,Ahmedabad,Yes,5000+,4 (US HQ SaaS),"EHR/healthcare SaaS; validated US HQ SaaS list; both AM and RC pipelines"
Automation Anywhere,Tier 1 (AM + RC),JD Config,Yes,Yes,Yes,Ahmedabad/Vadodara,Yes (SoftBank backed),5000+,4 (US HQ SaaS),"RPA/automation SaaS; validated US HQ SaaS list; both pipelines"
Karat,Tier 1 (AM + RC),JD Config,Yes,Yes,Yes,Ahmedabad,Yes (VC-backed),201-500,4 (US HQ SaaS),"Interview engineering SaaS; validated US HQ SaaS list; both pipelines"
Toast,Tier 1 (AM + RC),JD Config,Yes,Yes,Yes,Ahmedabad,Yes (public/VC origin),5000+,4 (US HQ SaaS),"Restaurant POS/SaaS; both AM and RC pipelines"
BrowserStack,Tier 1 (AM + RC),JD Config,No (India HQ),Yes,Yes,Ahmedabad,Yes (VC-backed),1000+,3 (Non-US SaaS validated),"Testing SaaS; on validated non-US list; both pipelines"
Freshworks,Tier 1 (AM + RC),JD Config,Yes (re-domiciled),Yes,Yes,Ahmedabad,Yes (public/VC origin),5000+,3-4 (context dependent),"CRM/ITSM SaaS; public company; both pipelines"
Kong Inc,Tier 1 (AM + RC),JD Config,Yes,Yes,Yes,Ahmedabad,Yes (VC-backed),500-1000,4 (US HQ SaaS),"API gateway/connectivity SaaS; both pipelines"
Medallia,Tier 1 (AM + RC),JD Config,Yes,Yes,Yes,Ahmedabad,Yes (PE-backed),1000+,4 (US HQ SaaS),"Experience management SaaS; both pipelines"
Sophos,Tier 1 (AM only),JD Config,No (UK HQ),Yes,Yes,Ahmedabad,Yes (PE-backed),3000+,2-3 (Non-US SaaS),"Cybersecurity SaaS; AM pipeline only"
WorkFusion,Tier 1 (AM only),JD Config,Yes,Yes,Yes,Ahmedabad,Yes (VC-backed),201-500,4 (US HQ SaaS),"AI/automation SaaS for compliance; AM pipeline only"
HighLevel,Tier 1 (AM only),JD Config,Yes,Yes,Yes,Ahmedabad,Yes (VC-backed),500-1000,4 (US HQ SaaS),"All-in-one marketing SaaS; AM pipeline only"
Phreesia,Tier 1 (AM only),JD Config,Yes,Yes,Yes,Ahmedabad,Yes (public),500-1000,4 (US HQ SaaS),"Healthcare intake SaaS; AM pipeline only"
Loop Subscriptions,Tier 1 (AM only),JD Config,Yes,Yes,Yes,Ahmedabad,Yes (VC-backed),11-50,4 (US HQ SaaS),"Shopify subscription SaaS; AM pipeline only; small startup"
Reelo,Tier 1 (AM only),JD Config,No (India HQ),Yes,Yes,Ahmedabad,Yes (VC-backed),51-200,3 (Non-US SaaS validated),"Customer engagement SaaS for restaurants; on validated non-US list"
Atlassian,Tier 2 (Research),company_research.json,Yes (Sydney/SF dual),Yes,Yes,Ahmedabad,Yes (public),10000+,4 (US HQ SaaS),"Jira/Confluence; high confidence Gujarat presence verified via LinkedIn"
HubSpot,Tier 2 (Research),company_research.json,Yes,Yes,Yes,Ahmedabad,Yes (public),5000+,4 (US HQ SaaS),"Marketing/CRM SaaS; high confidence Gujarat presence verified via LinkedIn"
Zendesk,Tier 2 (Research),company_research.json,Yes,Yes,Yes,Ahmedabad,Yes (PE-backed/public),5000+,4 (US HQ SaaS),"Customer support SaaS; high confidence Gujarat presence verified via LinkedIn"
Datadog,Tier 2 (Research),company_research.json,Yes,Yes,Yes,Ahmedabad,Yes (public),5000+,4 (US HQ SaaS),"Monitoring/observability SaaS; high confidence Gujarat presence verified via LinkedIn"
Twilio,Tier 2 (Research),company_research.json,Yes,Yes,Yes,Ahmedabad,Yes (public),5000+,4 (US HQ SaaS),"Communications API SaaS; high confidence Gujarat presence verified via LinkedIn"
Okta,Tier 2 (Research),company_research.json,Yes,Yes,Yes,Ahmedabad,Yes (public),5000+,4 (US HQ SaaS),"Identity/IAM SaaS; high confidence Gujarat presence verified via LinkedIn"
MongoDB,Tier 2 (Research),company_research.json,Yes,Yes,Yes,Ahmedabad,Yes (public),5000+,4 (US HQ SaaS),"Database platform SaaS; high confidence Gujarat presence verified via LinkedIn"
ServiceNow,Tier 2 (Research),company_research.json,Yes,Yes,Yes,Ahmedabad,Yes (public),10000+,4 (US HQ SaaS),"IT service management SaaS; high confidence Gujarat presence verified via LinkedIn"
MoEngage,Tier 2 (Research),company_research.json,Yes (SF HQ),Yes,Yes,Ahmedabad,Yes (VC-backed),500-1000,4 (US HQ SaaS),"Customer engagement SaaS; Sr. CSM verified in Ahmedabad"
Droisys,Validated SaaS (US),JD Rubric,Yes,Yes,Unknown,Unknown,Unknown,51-200,4 (US HQ SaaS),"On validated US HQ SaaS list; Gujarat presence not confirmed"
Searchmetrics,Validated SaaS (US),JD Rubric,Yes,Yes,Unknown,Unknown,Unknown,201-500,4 (US HQ SaaS),"SEO SaaS; on validated US HQ SaaS list; Gujarat presence not confirmed"
LinkedIn,Validated SaaS (US),JD Rubric,Yes,Yes,Yes,Various India,Yes (Microsoft),10000+,4 (US HQ SaaS),"On validated US HQ SaaS list"
Zycus,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Possible,Unknown,Yes (VC-backed),1000+,3 (Non-US SaaS validated),"Procurement SaaS"
Vymo,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Possible,Unknown,Yes (VC-backed),201-500,3 (Non-US SaaS validated),"Sales engagement SaaS"
factoHR,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Rajkot,Yes,51-200,3 (Non-US SaaS validated),"HR/payroll SaaS; Gujarat-based"
Salesmate,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes (VC-backed),51-200,3 (Non-US SaaS validated),"CRM SaaS; Ahmedabad-based"
CallHippo,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes,51-200,3 (Non-US SaaS validated),"VoIP SaaS; Ahmedabad-based"
PetPooja,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes (VC-backed),201-500,3 (Non-US SaaS validated),"Restaurant POS SaaS; Ahmedabad-based"
VasyERP,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes,11-50,3 (Non-US SaaS validated),"ERP SaaS; Ahmedabad-based"
Odoo,Validated SaaS (Non-US),JD Rubric,No (Belgium HQ),Yes,Yes,Various India,Yes,1000+,3 (Non-US SaaS validated),"Open-source ERP/CRM SaaS"
Phonon Communications,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes,51-200,3 (Non-US SaaS validated),"Communication automation SaaS; Ahmedabad-based"
flydocs,Validated SaaS (Non-US),JD Rubric,No (UK HQ),Yes,Yes,Ahmedabad,Yes,201-500,3 (Non-US SaaS validated),"Aviation records SaaS"
Shipmnts,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes (VC-backed),51-200,3 (Non-US SaaS validated),"Logistics SaaS; Ahmedabad-based"
KlugKlug,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Possible,Unknown,Yes,11-50,3 (Non-US SaaS validated),"Influencer analytics SaaS"
Qoruz,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Possible,Unknown,Yes,11-50,3 (Non-US SaaS validated),"Influencer marketing SaaS"
Almashines,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes,11-50,3 (Non-US SaaS validated),"Alumni management SaaS; Ahmedabad-based"
TECHstile ERP,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes,11-50,3 (Non-US SaaS validated),"Textile ERP SaaS; Ahmedabad-based"
Tata Tele Business Services,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Various India,No (Tata group),1000+,3 (Non-US SaaS validated),"Business communications SaaS division"
Quick Heal / SEQRITE,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Possible,Pune,No (public),1000+,3 (Non-US SaaS validated),"Cybersecurity SaaS"
Adit (Grow with Adit),New Addition,LinkedIn URL provided,Yes (Remote US),Yes,Likely (5 continents),Unknown,Unknown,~493,4 (US HQ SaaS),"Dental practice management SaaS; all-in-one AI-powered; ~$100-250M revenue; founded 2013; linkedin.com/company/grow-with-adit"
